Temperatura (K),Magnetizacion
50.2911014556885,-0.11492236232214889
50.5766639709473,-0.11438938980901002
51.0070400238037,-0.11316230628725113
51.5049209594727,-0.11085572228521501
52.0086288452148,-0.10769376755130167
52.5172252655029,-0.10407926834942946
53.025899887085,-0.1002749232194278
53.5328598022461,-0.09642604114210222
54.0359516143799,-0.09255592237517112
54.5363655090332,-0.08870139976202224
55.035285949707,-0.08488054354388168
55.5335025787354,-0.08109632774702334
56.0340175628662,-0.07735620662479167
56.5372085571289,-0.07365029494354833
57.0376224517822,-0.06999121134925278
57.5305709838867,-0.06639896616441444
58.0264415740967,-0.06284019934229279
58.524585723877,-0.059328146017473334
59.0220336914062,-0.05585877764987945
59.5217552185059,-0.05245216797763578
60.0238552093506,-0.049111231157131445
60.5262336730957,-0.04581982014821523
61.0233135223389,-0.042593133190614835
61.5175819396973,-0.03941716846358678
62.0149002075195,-0.036315949577067116
62.5125827789307,-0.033263950683935006
63.0121669769287,-0.03028415503599728
63.5147533416748,-0.02736647964014617
64.0110301971436,-0.024517929870022277
64.5078468322754,-0.02173793733542811
65.0046615600586,-0.019029075895913336
65.4994659423828,-0.016376210372012222
65.999095916748,-0.013809161216389447
66.4991683959961,-0.011302871934169111
66.9985466003418,-0.008901244816809834
67.4955177307129,-0.00654395510855389
67.9927749633789,-0.004261110001718734
68.4923286437988,-0.002055031939423167
68.991771697998,8.078602502265278e-05
69.4894943237305,0.0021419377126628333
69.9879379272461,0.004110197416536267
70.485466003418,0.0060208904256352225
70.980167388916,0.007860654062879389
71.480281829834,0.009612391360909835
71.979419708252,0.011292231291239001
72.4771003723145,0.012905171437749557
72.977123260498,0.014443386543632112
73.4737281799316,0.01591509986457961
73.9706916809082,0.017309850800299002
74.4710311889648,0.018637942639436945
74.9714241027832,0.019902631053990226
75.4708671569824,0.021102415950347612
75.9688262939453,0.022231637312549613
76.4670753479004,0.023295533051700446
76.9649467468262,0.024286990640756446
77.4630126953125,0.025225705800375
77.9629135131836,0.026101899548737224
78.4598999023437,0.026910853600451947
78.9575462341309,0.02766857743186528
79.4548454284668,0.028383498715857058
79.951961517334,0.029034052020778727
80.4520454406738,0.029619361862742947
80.9506568908691,0.030168631894372112
81.4529418945313,0.03066464227682134
81.9510498046875,0.0311051638301765
82.4482116699219,0.0315117396256505
82.9493179321289,0.031863393754191005
83.443489074707,0.03216860730112589
83.9397010803223,0.03244046795602561
84.4422798156738,0.03265706680810084
84.9389724731445,0.03283680929593695
85.4339599609375,0.032980535488684896
85.9344940185547,0.033078927980245226
86.4337387084961,0.03315031261134539
86.9336738586426,0.03318334683250495
87.4324226379395,0.03317830857071395
87.9304809570312,0.033144144944997
88.4282035827637,0.033084451973909114
88.9259986877441,0.03301162265485067
89.4261856079102,0.032902871830230614
89.9238624572754,0.032779080730597224
90.4216918945313,0.032643281388442726
90.9217491149902,0.03250847446393495
91.4208869934082,0.032355360716911835
91.9177856445313,0.03220322165098817
92.4182662963867,0.032049291834795615
92.9186515808105,0.03188750906730267
93.4161109924316,0.031740810734226174
93.9144325256348,0.03158428577082067
94.4125823974609,0.03144649485476561
94.9125099182129,0.0313030951747684
95.414478302002,0.03115655031632478
95.9107055664062,0.03100734994850089
96.407527923584,0.030857941902830945
96.9076309204102,0.03072972206475506
97.4023094177246,0.030583031960349838
97.899730682373,0.030449507104733615
98.399772644043,0.030307946162006893
98.9000396728516,0.03017498639603195
99.4001426696777,0.030048901124652447
99.900089263916,0.029904244397716117
100.400802612305,0.029781591465735557
100.89771270752,0.029644320994833284
101.396110534668,0.029513357897822834
101.893444061279,0.029388635199166502
102.39323425293,0.02925591673729806
102.893962860107,0.029128662411048112
103.390163421631,0.02900738693101789
103.889812469482,0.028884577803777338
104.392280578613,0.028757804334166113
104.890155792236,0.028635958469413227
105.385837554932,0.028517200004245555
105.885715484619,0.028397909515052114
106.385478973389,0.028277641450255225
106.883800506592,0.028152693362338506
107.380340576172,0.028036250121234833
107.882514953613,0.02792263263120117
108.380363464355,0.0278130910738315
108.877178192139,0.027692618164903447
109.37780380249,0.027574371828522116
109.872798919678,0.027464225138250666
110.370414733887,0.027354517610928334
110.870380401611,0.02724475574895545
111.370090484619,0.027128303669255834
111.870532989502,0.027022005850814226
112.368988037109,0.02690796714231428
112.867168426514,0.0268056422002635
113.367660522461,0.026693574596350834
113.868389129639,0.026594407535299448
114.368686676025,0.02648485883158989
114.863967895508,0.026381862184038558
115.356460571289,0.026274398499770556
115.859310150146,0.026175028880510893
116.36548614502,0.026071857126509116
116.864013671875,0.02596995709054778
117.358722686768,0.025875476284036723
117.855758666992,0.025775687512422724
118.354553222656,0.025679536017790727
118.851692199707,0.025574760233099722
119.350124359131,0.025476329182535725
119.850875854492,0.02538563605844517
120.348293304443,0.025287890611683114
120.847854614258,0.025197129241442334
121.350658416748,0.025108282288234335
121.846019744873,0.025015115500862002
122.343921661377,0.024909575538715614
122.844100952148,0.024821810752169222
123.342281341553,0.024734962558491558
123.842712402344,0.024644909767816556
124.341018676758,0.02455785319679467
124.839878082275,0.02446894338522067
125.340496063232,0.024371005052409668
125.840755462646,0.024296213936125504
126.336647033691,0.024207604248916225
126.832450866699,0.02411211402663928
127.33292388916,0.024027174618872
127.831195831299,0.02394884447053267
128.331642150879,0.023860906369001945
128.831604003906,0.023786464986046335
129.329490661621,0.023692785138405777
129.830436706543,0.023608383320360058
130.330619812012,0.023533170941383057
130.830612182617,0.023455923660394336
131.328132629395,0.023364181727688726
131.825164794922,0.023284979662786722
132.325492858887,0.023214306609596114
132.826171875,0.023135862899211004
133.321678161621,0.023058900384697947
133.817741394043,0.022976851560326722
134.317947387695,0.022905438162133782
134.81787109375,0.022822601765935226
135.31761932373,0.022747442043210112
135.817863464355,0.022676389262960946
136.317192077637,0.022588612344173392
136.815689086914,0.022516520901162115
137.316558837891,0.022449243913049612
137.816795349121,0.0223710396465835
138.31519317627,0.022295116221933614
138.811950683594,0.022230225014248168
139.309768676758,0.022165186847433224
139.809837341309,0.022085143752717168
140.310699462891,0.022005757538249
140.809089660645,0.02194103857178239
141.306930541992,0.021874265942016448
141.807060241699,0.021803854951543834
142.306015014648,0.021735463306189057
142.806831359863,0.02166811224554028
143.308441162109,0.021600760431855166
143.807266235352,0.02152388224849578
144.30445098877,0.021459790776053447
144.803283691406,0.021388254108770387
145.301139831543,0.021315344028270223
145.799087524414,0.02124945894629839
146.301864624023,0.02118594812786278
146.801536560059,0.021125048439801557
147.296539306641,0.021062182566347724
147.793815612793,0.020991518146361
148.293754577637,0.020925222624603612
148.793426513672,0.02086753311484028
149.291969299316,0.020798308150786444
149.790512084961,0.02073436833592761
150.290679931641,0.020668682921364447
150.789527893066,0.0206092174138855
151.288131713867,0.02054699297144561
151.789543151855,0.0204839055642255
152.284576416016,0.02042772144755461
152.781578063965,0.02035532716585028
153.28141784668,0.02030403156409
153.778472900391,0.02023582464386789
154.279708862305,0.02018602461482728
154.778656005859,0.020123271745998334
155.278381347656,0.020063137166064
155.778076171875,0.02000823464032139
156.274543762207,0.019946913681143947
156.775177001953,0.019883567793412504
157.277252197266,0.01982526942398167
157.775177001953,0.01977658182677367
158.270835876465,0.01971770213464378
158.771049499512,0.01966169139596228
159.269256591797,0.019606218744620166
159.764739990234,0.01955564225947961
160.267684936523,0.019493470262210502
160.768257141113,0.019432085902639448
161.265632629395,0.019386511054189502
161.764152526855,0.019325464412998004
162.263061523438,0.019265609492128667
162.76350402832,0.019221128734610723
163.262565612793,0.019153211759608393
163.762390136719,0.01910898939343078
164.26001739502,0.01905312186360411
164.760734558105,0.01901151867892267
165.257827758789,0.018948977981104557
165.751678466797,0.018898615046425832
166.25301361084,0.018851305314649944
166.752914428711,0.018799436059303332
167.250816345215,0.01874124414082978
167.75121307373,0.018692391165313557
168.249435424805,0.0186417496778625
168.745933532715,0.01859357953880667
169.246360778809,0.018538123274804388
169.745964050293,0.018487595000878834
170.22631072998,0.018440391295917666
170.612503051758,0.018398447610949834
170.864845275879,0.018343380966485835
171.014801025391,0.018314879735638168
171.071113586426,0.018282020320785
171.020881652832,0.018266487977245945
170.873031616211,0.018251893865949945
170.670928955078,0.01826481198936978
170.459060668945,0.01826368734011639
170.262145996094,0.018258819775244444
170.093635559082,0.018284216842537726
169.958396911621,0.018293264025946446
169.855857849121,0.018303832413134557
169.786979675293,0.018307588614538444
169.750633239746,0.018322944957504278
169.744079589844,0.018322979476629222
169.759216308594,0.01832541320367511
169.786819458008,0.018328888718750946
169.817909240723,0.018325502118857334
169.845199584961,0.01832423816152867
169.866539001465,0.018318406185646282
